distance,1,2,3,4,5,6,7,8,9,10,11
6.067,2.33831333,2.8873058,2.19226862,2.1147317,2.39953684,2.29867455,2.37658114,2.44952552,2.67347032,3.0582452,2.16564658
6.446,2.30894707,2.72014081,2.19464889,2.17725319,2.40511521,2.35448002,2.42373839,2.47690662,2.51613221,3.00973416,2.33103117
6.825,2.33423964,2.58079961,2.25562914,2.35315257,2.48715165,2.37873015,2.47954063,2.48770547,2.45652089,2.72061746,2.3890836
7.204,2.41286915,2.56122346,2.25811847,2.36537051,2.59436813,2.29133523,2.52654931,2.54039056,2.41349707,2.59874959,2.44232339
7.583,2.61823088,2.66255884,2.20514438,2.36734452,2.6836116,2.37602681,2.59093053,2.48855022,2.34333048,2.6383117,2.35927997
7.962,2.75556158,2.74317663,2.15888554,2.27861515,2.75095596,2.31099096,2.57030255,2.40134757,2.24481469,2.8556691,2.38084991
8.341,2.76189216,2.67935211,2.17135352,2.16954853,2.75975756,2.21137131,2.5254056,2.42598782,2.22151145,2.99182006,2.2948708
8.721,2.73517592,2.68061476,2.29864948,2.12340919,2.71919044,2.18007287,2.5604655,2.45833318,2.29437993,3.06618686,2.28418247
9.1,2.79462731,2.74725752,2.33746759,2.10506012,2.61943802,2.33056781,2.55218837,2.45224808,2.31395602,2.90125854,2.22109405
9.479,2.75523737,2.776647,2.30642804,2.08521195,2.46191915,2.41949455,2.44747795,2.45733484,2.36584012,2.65348561,2.16297074
9.858,2.58095689,2.73325724,2.22677901,2.05594559,2.41361784,2.49192089,2.39993397,2.41643598,2.35135817,2.56559117,2.26672723
10.237,2.50833375,2.69222105,2.1625733,2.02833251,2.42033706,2.53283559,2.38854761,2.43284087,2.27855621,2.52678992,2.25482339
10.616,2.52986587,2.68431685,2.0519677,2.01668515,2.50028849,2.50338344,2.36134863,2.45409117,2.21237594,2.58703069,2.33693477
10.996,2.51611777,2.58242591,1.99441442,2.16459579,2.57649216,2.40880057,2.35003773,2.48674188,2.21444709,2.60219648,2.3309109
11.375,2.54740418,2.48216126,2.04845419,2.23010664,2.59539883,2.4728781,2.45675494,2.43308771,2.30798801,2.58993604,2.3466567
11.754,2.61596303,2.44696358,1.97768258,2.15779131,2.59776445,2.34494264,2.58289511,2.41161251,2.37575088,2.6344749,2.12657845
12.133,2.63347628,2.44653427,1.95316862,1.98607917,2.47557528,2.35476357,2.55788214,2.43010184,2.42457987,2.66317374,1.88548431
12.512,2.46281841,2.39344229,1.98035564,2.01375781,2.35786296,2.33568135,2.47133425,2.47541643,2.4787186,2.65300094,1.88636696
12.891,2.28301707,2.2953797,2.00335585,2.08581089,2.38883119,2.4140868,2.36784653,2.45764751,2.42634596,2.6185347,2.03613674
13.271,2.24135771,2.19110487,2.05542786,1.98825341,2.42583938,2.44935284,2.29485922,2.31182461,2.25421626,2.48828923,2.13578712
13.65,2.29899544,2.20397887,1.96560104,1.99040285,2.44807419,2.2879454,2.27902891,2.14405478,2.2119608,2.38549976,2.26719969
14.029,2.37091065,2.32537526,1.93733649,2.06294677,2.47554643,2.25451072,2.28744517,2.03935748,2.24291786,2.3695352,2.38040537
14.408,2.4606179,2.40074547,1.94469423,2.1327937,2.51029652,2.20459803,2.34353983,2.10200399,2.1851919,2.38316843,2.34503531
14.787,2.53433267,2.48745934,1.95799673,2.11750843,2.46747392,2.19114634,2.33270764,2.13633139,2.09892635,2.47763445,2.27679062
15.166,2.47208875,2.55357684,1.937685,2.0210425,2.3318699,2.18516509,2.33088124,2.22490903,2.08982296,2.49856492,2.12909107
15.545,2.29400239,2.51518718,1.90198447,1.92488136,2.26380693,2.26038431,2.33151559,2.21108958,2.14681037,2.41154506,2.07662655
15.925,2.18181548,2.34855755,1.88452953,1.81036408,2.3168972,2.34725476,2.27620266,2.1438957,2.22188761,2.38176856,1.97606132
16.304,2.22226729,2.1468767,1.79748602,1.84450875,2.2869859,2.24647105,2.22404848,2.07875702,2.2536268,2.39475736,1.95282703
16.683,2.2895074,2.13153296,1.82409338,1.94629067,2.23133068,2.22082554,2.13430647,2.08686621,2.25728742,2.34162429,2.01951689
17.062,2.31411397,2.24724237,1.76083006,2.01204606,2.27219941,2.40787743,2.11801278,2.08894882,2.21473838,2.2407248,2.09891807
17.441,2.37579563,2.36309319,1.74293772,1.95400951,2.26338468,2.48770384,2.12759279,2.07279077,2.08942845,2.19241413,2.00364868
17.82,2.35930198,2.36715388,1.67779436,1.88384184,2.15801193,2.71231577,2.14099184,2.1353166,1.96861632,2.21237254,1.88451792
18.2,2.27368564,2.25147478,1.66567133,1.89777153,2.01664595,2.56760701,2.12769066,2.03169991,1.93406515,2.19424994,1.86809994
18.579,2.13392891,2.16031637,1.71651527,1.87258078,2.00524267,2.27571746,2.05915083,1.96224424,1.89104362,2.25016923,1.91823223
18.958,2.05343248,2.14803834,1.63879014,1.81521404,2.05715275,2.1151223,1.99771848,1.9792379,1.93193667,2.32929075,1.94944464
19.337,2.01263924,2.10287582,1.66223606,1.83937526,2.11010139,1.99035175,1.93329717,1.92109854,1.95425823,2.37590911,1.9799269
19.716,2.00329215,2.12961878,1.64999567,1.82057434,2.10480889,2.01212666,1.92817762,1.87745333,1.93042288,2.30296926,1.95608056
20.095,2.03231541,2.20351926,1.64006562,1.8031733,2.06687753,1.91561543,1.94952483,2.00187599,1.9313128,2.27014659,1.91199576
20.475,2.03747134,2.12444696,1.60995068,1.75883431,2.03259689,1.88150492,1.9029925,2.01258342,1.94182907,2.10135168,1.85773159
20.854,2.00733921,1.97290854,1.57381155,1.68954732,1.98476766,2.01916324,1.85065203,1.88687901,1.92822329,2.11202541,1.82765522
21.233,1.94063632,1.87123477,1.56120251,1.63870687,1.94754966,2.14001522,1.81885464,1.88202812,1.83492779,2.13761041,1.83345574
21.612,1.89225796,1.7944908,1.53755982,1.66270684,1.91492129,2.0700801,1.77865278,1.85338355,1.78263771,2.21940442,1.82482476
21.991,1.87813553,1.7449696,1.54791305,1.63918885,1.82116687,2.07039137,1.75648022,1.7116564,1.75466237,2.26536481,1.84964823
22.37,1.8246545,1.73430776,1.49555299,1.56105959,1.76028471,2.03654309,1.74554426,1.65275274,1.73719182,2.25630216,1.9604594
22.75,1.76675208,1.73922706,1.42361496,1.47839046,1.78155439,1.99055536,1.74985497,1.63903384,1.74244652,2.14864426,1.95026071
23.129,1.76442157,1.78734419,1.33881776,1.48500179,1.82872272,1.93522638,1.77214781,1.63207292,1.71044815,2.091891,1.86258504
23.508,1.7342127,1.82954201,1.30641618,1.51280979,1.81978473,1.96715375,1.80588478,1.62692033,1.69097069,2.09760152,1.65848452
23.887,1.67962593,1.85459807,1.29335195,1.52319726,1.78487729,1.9454492,1.79358699,1.62714158,1.65881176,2.05482809,1.59138663
24.266,1.60919547,1.84414837,1.29881188,1.57790422,1.75581048,1.95260197,1.73141537,1.63701157,1.60677858,2.02600198,1.64546825
24.645,1.61913301,1.79421301,1.32097164,1.5195806,1.75380677,1.85586581,1.63629675,1.64274012,1.54380022,1.92025571,1.75593796
25.024,1.67358666,1.7109285,1.30666275,1.39601371,1.74807366,1.77930238,1.56368556,1.59916074,1.46261505,1.85057593,1.7627285
25.404,1.73639442,1.62027516,1.29990244,1.30689095,1.69655174,1.71648058,1.50803778,1.51782012,1.41548105,1.81059412,1.75050253
25.783,1.74621136,1.57476414,1.2838356,1.27242909,1.64227342,1.70140113,1.51219403,1.48434843,1.40508634,1.79726685,1.73639745
26.162,1.6920271,1.6048304,1.25219624,1.26576106,1.59281814,1.69933845,1.5226218,1.50107147,1.38907913,1.79924889,1.60153807
26.541,1.59208317,1.64607871,1.25794066,1.31198546,1.57342366,1.73901554,1.47125643,1.46736757,1.33020406,1.74087643,1.50842052
26.92,1.52548834,1.58389563,1.23034349,1.35735929,1.57557423,1.7669348,1.4171662,1.38350368,1.29707953,1.78138623,1.46066771
27.299,1.47807633,1.48723207,1.22612349,1.4432198,1.58237213,1.67208117,1.41092416,1.35325008,1.28548754,1.84031377,1.47334038
27.679,1.44497156,1.47982788,1.22060903,1.43264095,1.59447041,1.58127509,1.43120667,1.3502313,1.30771736,1.82444127,1.48974118
28.058,1.41122464,1.48283299,1.17898509,1.35029079,1.57412128,1.67938531,1.43563529,1.31170028,1.33337156,1.76185022,1.5196393
28.437,1.39102223,1.44581709,1.1629633,1.33396003,1.55628203,1.63253093,1.43725062,1.31114077,1.34085337,1.75685453,1.52106527
28.816,1.37880117,1.44761005,1.14449129,1.3030528,1.50110151,1.54019196,1.40732679,1.35464153,1.30799489,1.77332813,1.45584862
29.195,1.37777844,1.48013091,1.07635363,1.22087629,1.46692054,1.53688314,1.36091001,1.33728767,1.28043928,1.76228887,1.44461696
29.574,1.38617171,1.48680781,1.08853237,1.2604043,1.45500323,1.62353507,1.29925954,1.31058858,1.25568418,1.77740321,1.44127968
29.954,1.38924302,1.50982343,1.13269662,1.37580582,1.43360242,1.62369283,1.25296656,1.30391655,1.24614728,1.73175691,1.39744399
30.333,1.3767933,1.51879331,1.11039935,1.39694046,1.42254796,1.58514356,1.22643494,1.26353331,1.23118596,1.64130641,1.34477331
30.712,1.3635824,1.46287299,1.09608808,1.36090684,1.40121796,1.46151255,1.22458261,1.23360151,1.20897908,1.60237519,1.3494163
31.091,1.33785286,1.41561446,1.04771924,1.32939181,1.36096293,1.42021836,1.29768783,1.25335064,1.21909856,1.59639119,1.40099818
31.47,1.30039875,1.36972464,1.00557135,1.29306581,1.31855996,1.46225021,1.30735037,1.20342287,1.19528155,1.56407215,1.44852979
31.849,1.25878482,1.35259803,0.95935756,1.20488399,1.31408047,1.42515388,1.28376055,1.14989304,1.17780413,1.5383274,1.42952617
32.228,1.22722275,1.36243156,0.95534856,1.16818941,1.34466842,1.43095817,1.2485403,1.11578139,1.15601239,1.51994216,1.38046765
32.608,1.23022672,1.37531061,0.98865222,1.23483611,1.29409589,1.35504819,1.23069967,1.08786455,1.08834586,1.4491089,1.26859559
32.987,1.25410501,1.34335542,1.00552512,1.2462283,1.20338374,1.42235992,1.22193322,1.06019455,1.06730873,1.38650973,1.20025212
33.366,1.23874685,1.28054102,0.99173899,1.2364504,1.15841582,1.45180994,1.21732538,1.08024172,1.02480556,1.37146037,1.17562408
33.745,1.19302164,1.25717186,1.03735178,1.17497794,1.13702812,1.5410746,1.22490803,1.09211022,1.00334869,1.3732664,1.23429071
34.124,1.16391381,1.2670963,1.03556421,1.07510092,1.1694965,1.41441619,1.22396949,1.12759138,1.02116557,1.3757656,1.21403077
34.503,1.16144861,1.28586436,1.04604072,1.01479266,1.2198461,1.30749026,1.216704,1.12256678,1.06772388,1.39685583,1.21453974
34.883,1.19993015,1.30002121,1.0155346,1.00630478,1.23050979,1.24356304,1.16692095,1.11205866,1.1149565,1.41094125,1.22129591
35.262,1.22642869,1.29480394,1.00011854,1.01187595,1.21989593,1.23477078,1.12560487,1.09376131,1.10494253,1.38904142,1.20684508
35.641,1.18941625,1.31663771,1.01889163,1.03550734,1.21384548,1.26469942,1.10843749,1.02691851,1.06690964,1.39876746,1.1807653
36.02,1.16010951,1.33817855,0.98868422,1.07575833,1.18668534,1.23066993,1.07807622,1.00364959,1.00162847,1.36991698,1.18733249
36.399,1.15815489,1.3269864,0.97611549,1.12235662,1.13732972,1.33846251,1.0765328,1.02615055,0.96989617,1.30144483,1.17890123
36.778,1.13573474,1.27946524,1.00322546,1.13268029,1.10043956,1.34058169,1.11702943,1.0385621,0.95300132,1.26243508,1.11976214
37.158,1.10906705,1.2320956,1.00633949,1.11415226,1.10090639,1.33668444,1.13853582,1.01869412,0.92860862,1.2336523,1.08827483
37.537,1.11415876,1.20078183,0.99003083,1.11993429,1.11914953,1.32214332,1.1259916,0.99868534,0.91651892,1.27419189,1.06828119
37.916,1.11639373,1.21444373,0.958689,1.11816229,1.12454956,1.28949321,1.09666085,1.01830283,0.93243439,1.30993615,1.0488953
38.295,1.11797872,1.26823774,0.94108589,1.08622908,1.12384407,1.24342233,1.06590695,1.05122598,0.94154237,1.32417321,1.06120718
38.674,1.101933,1.30331926,0.92264827,1.0512746,1.13490378,1.21160902,1.0471089,1.07319486,0.91913136,1.29806021,1.03278013
39.053,1.06883606,1.29562213,0.91009849,0.99054815,1.13397536,1.19476856,1.04645805,1.0638734,0.89525013,1.27825614,1.03241075
39.432,1.06441625,1.27602073,0.89257244,0.96848498,1.09302533,1.20091078,1.07767297,1.05420087,0.89019498,1.24355163,1.05006786
39.812,1.05857902,1.26855593,0.915479,1.00617719,1.07017944,1.18681843,1.07466278,1.01370975,0.88344484,1.17196562,1.01977674
40.191,1.06081242,1.2607982,0.90702832,1.05304837,1.05837228,1.16657108,1.07568033,0.99046827,0.89326615,1.11418615,1.00557288
40.57,1.0605305,1.28774319,0.86168698,1.04524625,1.06092149,1.13108545,1.07670377,0.97543106,0.90845224,1.11696153,1.00759372
40.949,1.06348592,1.29405139,0.86630646,1.03049258,1.05122294,1.1321525,1.05013441,0.96701103,0.93029902,1.1020611,0.99983034
41.328,1.05525398,1.31268308,0.89646527,1.01796808,1.05554506,1.10123356,1.02137433,0.93086065,0.93726247,1.11683969,0.97446569
41.707,1.03296381,1.34746156,0.88089274,1.019492,1.09462777,1.11759113,1.0301903,0.95378764,0.91528724,1.15189891,0.99819177
42.087,1.04125841,1.33868866,0.86084654,1.02381923,1.14673454,1.05109061,1.03646536,0.98374321,0.87104321,1.17048993,1.01775805
42.466,1.0438818,1.29010687,0.87706511,1.0625711,1.15400714,1.04824336,1.02670731,1.00762831,0.848162,1.18782458,1.01195538
42.845,1.0559666,1.23365624,0.85571141,1.13349896,1.13365015,1.02105963,1.02285879,1.00352343,0.8371549,1.18826052,0.99030383
43.224,1.08398592,1.19169074,0.85322445,1.11115758,1.1128814,1.03686395,1.03626138,0.98718985,0.8469395,1.15125447,0.9391579
43.603,1.08006259,1.17130144,0.82461614,1.05825451,1.09068593,1.007948,1.04834104,0.94837176,0.86915785,1.11706443,0.93050759
43.982,1.05172219,1.17861977,0.83676406,1.02973239,1.07115507,1.0628591,1.02742772,0.92830265,0.90911968,1.10611722,0.92879385
44.362,1.02221028,1.17244793,0.8745414,1.01857942,1.06307207,1.06543773,0.97185186,0.92981843,0.91848914,1.09022035,0.9161577
44.741,1.01488517,1.15645266,0.88922607,1.00525398,1.05866077,1.06512113,0.94374145,0.93648498,0.89759192,1.08389247,0.89235002
45.12,1.01442784,1.15430615,0.8927538,1.01112639,1.05952624,1.0570676,0.93561171,0.93731327,0.88740593,1.08853617,0.91164785
45.499,1.04225138,1.19126649,0.90288063,1.02804722,1.05687737,1.02086776,0.96930033,0.94846684,0.87236434,1.08391684,0.99082569
45.878,1.0663693,1.20284753,0.88706272,1.01670642,1.06138308,0.9742948,1.0072478,0.9696056,0.85565298,1.06280225,1.01603572
46.257,1.05106909,1.18742803,0.8614582,0.99605907,1.06453026,0.94562828,1.05154577,0.96977748,0.89166519,1.05489037,1.02226145
46.636,1.03182832,1.15503344,0.84841293,1.00313821,1.05294864,0.95293669,1.08510352,0.96347297,0.90345672,1.07033776,1.001834
47.016,1.01090075,1.10923958,0.83914908,1.04123267,1.06368839,0.9263691,1.07959605,0.92946554,0.88197233,1.07590478,0.95540193
47.395,0.99420663,1.07292067,0.82071382,1.06331711,1.08354446,0.96254123,1.05961185,0.90816222,0.82832444,1.06487634,0.95498746
47.774,0.99269524,1.0486323,0.81980581,1.06107376,1.08877402,0.95818134,0.98685445,0.92440255,0.81256723,1.0614836,0.92817321
48.153,0.99238513,1.02477323,0.83113107,1.05163609,1.10188988,0.98117041,0.94296208,0.9278693,0.83825354,1.05164113,0.89652055
48.532,0.99709783,1.0386624,0.83215169,1.01875662,1.08750728,0.92240043,0.96304532,0.89269167,0.85310477,1.0536367,0.92237484
