,X,Y7,Y4,Y2,Y5,Y3,Y0,Y1,Y6,Y8,Y9,signal_mean,signal_std
1,0.98592,12852.243,11560.667,13599.985,14038.071000000002,11201.731000000002,11304.693000000001,11337.113000000001,13412.521999999999,13015.41,12583.542,12490.597700000002,1062.1287594301725
2,1.9715799999999999,12840.018999999998,12787.341,13514.872,14808.095,12549.423,12887.871000000001,12160.75,13055.728000000001,13551.538,13863.667,13201.930400000001,757.9587486573832
3,2.9575,12447.303,13631.992,13454.042,14559.985,12951.833,13775.8,12587.181999999999,12661.681999999999,13179.91,14851.416000000001,13410.114500000001,817.3010088804157
4,3.9431599999999998,12313.273000000001,13860.938999999998,13603.556,14130.608999999999,12741.036,14068.955,12895.0,12730.021999999999,12757.552,15429.729,13453.0671,946.2600553519978
5,4.92908,12532.81,13758.136999999999,13887.896,13963.59,12545.435,13819.176000000001,13319.818000000001,13007.613000000001,12807.0,15857.35,13549.882500000002,981.3773628775531
6,5.915,12817.059,13519.288,14398.633999999998,14065.836000000001,12613.955,13417.9,13610.091,13358.091,13115.27,15950.823999999999,13686.694800000001,955.9506143839576
7,6.90066,13120.528,13613.266000000001,14759.61,14302.034,12842.851999999999,13062.671,13576.954,13686.091,13481.525,15923.364,13836.8895,930.2595248015768
8,7.88658,13442.952,13804.159,15043.771999999999,14471.69,13240.419,12939.177,13277.091,13997.886999999999,13827.038,15928.778999999999,13997.296400000001,921.0832647464853
9,8.87224,13687.487,14016.296,15268.822,14548.624,13451.354,12989.642,13140.363000000001,14161.931999999999,14145.577,16050.996000000001,14146.1093,949.2780263148587
10,9.85816,13796.095,14242.606000000002,15479.712,14623.238000000001,13664.028999999999,13169.441,13048.863000000001,14364.454,14253.91,16229.556,14287.190400000001,984.8411146965336
11,10.84382,13964.326000000001,14552.766000000001,15507.294,14723.083,13768.913999999999,13317.183,13042.863000000001,14389.546,14470.192,16517.834,14425.400099999999,1024.15387015314
12,11.82974,13950.498,14708.417,15497.697,14815.409,13829.181999999999,13502.216999999999,13221.181999999999,14458.728000000001,14581.192,16795.218999999997,14535.974099999998,1042.6781667322373
13,12.815660000000001,13983.184,14729.417,15523.416000000001,14773.43,13747.973,13541.111,13416.591,14404.136999999999,14685.063999999998,16955.764,14576.0087,1060.2465642919574
14,13.80132,14004.423999999999,14636.401000000002,15571.716,14703.569,13659.856000000002,13703.832,13453.954,14504.886999999999,14598.205,17136.686,14597.353,1093.1686404093584
15,14.787239999999999,14011.538,14588.076000000001,15608.819,14671.573999999999,13476.907,13738.393999999998,13484.091,14442.931999999999,14609.885,17333.646,14596.5862,1160.2536113800297
16,15.7729,14013.783000000001,14589.188999999998,15588.59,14613.993999999999,13246.11,13812.241000000002,13468.318000000001,14327.521999999999,14467.295,17396.174,14552.321600000001,1199.2252781492998
17,16.75882,14115.252,14446.568000000001,15628.55,14641.82,13102.228000000001,13930.5,13500.521999999999,14305.136999999999,14275.667,17278.73,14522.497400000002,1179.7482344403636
18,17.74474,14140.872,14227.046,15667.14,14674.751,13021.827,14045.321000000002,13491.954,14247.341,14254.68,17113.236,14488.4168,1152.5717527117638
19,18.7304,14174.511,13901.28,15608.053,14707.686000000002,12969.293,14025.229,13445.5,14188.704,14172.192,16784.557,14397.7005,1092.127252401503
20,19.71632,14185.732,13747.326000000001,15485.434,14873.837,12933.438999999998,13968.033000000001,13350.159,14135.341,14083.538,16394.236,14315.7075,1021.4511969619228
21,20.70198,14109.513,13487.621000000001,15409.823999999999,14955.553,12938.076000000001,13949.577,13271.228000000001,13902.136999999999,14039.257,16024.098999999998,14208.688499999998,972.347126663706
22,21.6879,13931.544,13147.688999999998,15471.208,14924.421,12848.173999999999,13913.198999999999,13223.341,13767.296,13865.475,15758.868999999999,14085.121600000002,987.7570325324837
23,22.673560000000002,13825.507,12898.521999999999,15396.945,14851.083,12676.955,13883.033000000001,13365.386999999999,13732.636999999999,13732.218,15424.46,13978.6747,957.6644615952164
24,23.65948,13732.821000000002,12619.983999999999,15287.086000000001,14713.902,12410.243999999999,13926.669,13272.659,13518.204,13704.68,15142.636,13832.888500000001,974.6507923276653
25,24.6454,13479.006000000001,12169.947,15171.873,14535.197,12132.771,13906.278999999999,13252.409,13274.046,13487.846000000001,14720.726,13613.01,1008.0572763298497
26,25.63106,13288.965,11669.938999999998,15014.485,14374.687,11812.38,13782.687,13296.228000000001,13183.771999999999,13248.653999999999,14183.508999999998,13385.530599999998,1049.9325114771482
27,26.616979999999998,13196.207,11196.651000000002,14806.906,14287.905,11388.542,13675.946000000002,13167.159,13162.954,13205.5,13707.923,13179.5693,1132.514571478104
28,27.60264,13079.223,10816.159,14676.282,14042.233,11015.589,13413.531,13060.431999999999,13002.0,13198.025,13251.271,12955.4745,1195.6720803191492
29,28.588559999999998,12888.49,10368.841,14561.243999999999,13750.163999999999,10598.341999999999,13154.366000000002,12866.181999999999,12708.818000000001,13071.653999999999,12686.249,12665.434999999998,1282.9818495489326
30,29.574479999999998,12659.641000000001,10055.03,14406.675,13275.607,10212.693000000001,12856.149,12709.021999999999,12475.046,12818.218,12095.581,12356.3662,1320.8489855209536
31,30.560140000000004,12550.963,9580.28,14286.408000000001,12827.612,9812.141,12585.648000000001,12549.228000000001,12360.521999999999,12593.73,11553.778,12070.031,1419.51213605254
32,31.546059999999997,12399.985,9135.984,13985.703000000001,12441.198,9430.742,12246.177,12232.659,12095.454,12507.923,11029.573,11750.5398,1483.33668960675
