distance,1,2,3,4,5,6,7
15.166,1.61491978,1.60265825,1.40792581,1.7852189,1.69351358,1.86800229,2.22529687
15.545,1.55533317,1.59718653,1.38784004,1.80643464,1.64951809,1.78473708,2.22384985
15.925,1.53245973,1.50536085,1.36418607,1.84701574,1.60218801,1.75756612,2.02412887
16.304,1.58353947,1.35541367,1.32784463,1.83943062,1.56582301,1.47354613,1.96049899
16.683,1.60698475,1.33547028,1.25333321,1.75710311,1.4779622,1.42356546,1.76712089
17.062,1.51626199,1.46047843,1.19942666,1.66530831,1.38004256,1.4586415,1.66918759
17.441,1.46690418,1.57592576,1.11807345,1.55341013,1.2773113,1.3259781,1.69130167
17.82,1.31441348,1.52193904,1.06084187,1.50204459,1.24096132,1.40669313,1.73074752
18.2,1.29932408,1.25891844,1.03527051,1.49762347,1.2920716,1.38967885,1.79037376
18.579,1.33734154,1.15937105,0.98509117,1.42129908,1.29110026,1.31193496,1.77867108
18.958,1.28714847,1.10068869,0.9417162,1.30701023,1.28435098,1.26250251,1.73149698
19.337,1.23694575,1.08999961,0.9216959,1.22986306,1.21097008,1.22113667,1.69912076
19.716,1.24801624,1.08152138,0.91604663,1.2625942,1.14932532,1.25998169,1.54483486
20.095,1.30670333,1.05045848,0.96498202,1.28654312,1.09869571,1.44154891,1.51889559
20.475,1.25749973,1.04526067,1.00114108,1.20896513,1.00192264,1.31021199,1.45274479
20.854,1.24463341,0.99143699,0.9796617,1.22140925,0.95965452,1.18151826,1.37059568
21.233,1.1787534,0.89245047,0.9217567,1.23395224,0.94911503,1.12215919,1.37497567
21.612,1.10156516,0.82603989,0.81036603,1.24461308,0.94526474,1.00669117,1.43521511
21.991,0.94263649,0.7661445,0.74022251,1.161657,0.92933283,0.9034846,1.32292843
22.37,0.88482964,0.72149034,0.68749912,1.08221452,0.90255601,0.83462964,1.35705665
22.75,0.83132441,0.64801023,0.68908915,0.98048985,0.83605458,0.75191264,1.35450977
23.129,0.84011398,0.64724719,0.6826776,0.91827633,0.73830016,0.72921062,1.36407761
23.508,0.85053553,0.6770514,0.65275238,0.86403989,0.67769183,0.71184881,1.3264746
23.887,0.82318057,0.67172317,0.63272741,0.85314246,0.62574039,0.6925193,1.27023555
24.266,0.80296712,0.68128399,0.6232387,0.82142126,0.59671548,0.64120725,1.22282785
24.645,0.82267619,0.65675584,0.61200563,0.78068125,0.56951809,0.65048777,1.16273117
25.024,0.78698784,0.5938735,0.61547095,0.75451823,0.57911128,0.67867684,1.12063137
25.404,0.75091719,0.55253238,0.66284437,0.70351995,0.52301915,0.69405626,1.10360457
25.783,0.70231112,0.48129573,0.64621457,0.64735192,0.4775266,0.67527007,1.09307313
26.162,0.67088262,0.44868718,0.59136803,0.64006695,0.45758418,0.63095267,0.96982026
26.541,0.63441682,0.44965891,0.54148798,0.58386714,0.44193766,0.5219213,1.00620336
26.92,0.63492762,0.48088487,0.48969523,0.58913223,0.45440481,0.47768222,1.00265719
27.299,0.59395139,0.49476959,0.47012388,0.59682329,0.43985981,0.42151454,1.01099215
27.679,0.57627587,0.45418498,0.49691114,0.58481351,0.42541995,0.39834752,0.94513335
28.058,0.59000957,0.39815044,0.51534609,0.59052001,0.39703092,0.41888115,0.96936279
28.437,0.63014733,0.37337446,0.48133356,0.56598843,0.36243835,0.4167666,0.89790409
28.816,0.59496013,0.37568315,0.44087208,0.53797151,0.34221555,0.41894968,0.85660243
29.195,0.54363624,0.41495689,0.40435293,0.50773696,0.3373789,0.41656592,0.80409448
29.574,0.5152661,0.41854383,0.39546749,0.49765172,0.32758543,0.43996789,0.7842872
29.954,0.51932356,0.40373303,0.38262102,0.50571003,0.33452497,0.40360942,0.77646486
30.333,0.50437872,0.38887005,0.38022663,0.47991779,0.33084491,0.37650209,0.80889624
30.712,0.48555311,0.37887227,0.34713538,0.44456647,0.32412067,0.36489655,0.80299461
31.091,0.45559596,0.34546154,0.35357499,0.42971051,0.30616097,0.35284069,0.7955097
31.47,0.43674143,0.3468311,0.33843233,0.43218238,0.28943297,0.35295327,0.72473233
31.849,0.43353208,0.34533111,0.32179318,0.43901888,0.28648892,0.32871918,0.72334047
32.228,0.40893028,0.33858766,0.3017495,0.41488633,0.30592064,0.30421098,0.71091104
32.608,0.3901143,0.3122856,0.30580406,0.39630843,0.29822005,0.3205302,0.67653624
32.987,0.39444484,0.32226382,0.29788667,0.38022713,0.28521217,0.30856734,0.70351697
33.366,0.39200008,0.30586171,0.30453204,0.36994414,0.28772562,0.30965888,0.70377003
