,X,Y1,Y2,Y3,Y0,Y8,Y7,Y5,Y4,signal_mean,signal_std
3,0.5126,7730.278,5095.017,9003.718,8743.271,8203.265,9808.546999999999,9611.039,8999.702,8399.354625,1497.7466178146171
4,1.5168,7394.031,4769.411,9115.846,8195.056,8877.604,10321.079,9360.939,8527.072,8320.12975,1671.387565553821
5,2.521,6829.15,4602.554,8774.27,7993.545999999999,9108.215,10060.099,9071.843,8280.208,8089.985624999999,1696.5426080590187
6,3.5252,6495.941999999999,4502.649,8394.513,7897.423000000001,8806.805,9555.436,8846.31,8169.0830000000005,7833.520125000001,1614.80816098706
7,4.5293,6360.393,4418.032,8220.538,7929.81,8330.916,9199.562,8707.974,8152.0,7664.903125000001,1546.7401556413906
8,5.5335,6272.590999999999,4306.76,8198.692,7917.0830000000005,8073.758000000001,9036.813,8661.708,8223.716999999999,7586.3902499999995,1552.4202901625902
9,6.537699999999999,6143.728,4266.969,8104.218000000001,7896.16,7951.438,8993.440999999999,8576.54,8215.069,7518.445374999999,1554.5181982982874
10,7.5419,5991.571999999999,4144.915,7971.359,7826.795999999999,7812.126,8977.562,8501.341,8146.285,7421.4945,1581.707965455155
11,8.5461,5800.391,3998.5809999999997,7842.5509999999995,7712.88,7672.178000000001,8930.758,8381.428,8064.439,7300.40075,1610.890010690253
12,9.5503,5647.340999999999,3901.383,7658.68,7546.231,7595.9169999999995,8920.176,8217.47,7861.852,7168.63125,1612.5872891362899
13,10.5545,5423.36,3781.0029999999997,7484.371999999999,7335.1269999999995,7429.513000000001,8842.496,7974.77,7688.891,6994.9415,1612.3840954450914
14,11.5587,5183.334,3680.415,7299.103,7108.866,7260.0509999999995,8634.719000000001,7708.964,7494.706999999999,6796.269875,1584.5902727921668
15,12.5629,4993.749,3613.8940000000002,6985.255999999999,6879.36,7070.7880000000005,8455.563,7419.2080000000005,7236.128000000001,6581.7432499999995,1533.4920470970592
16,13.5671,4760.722,3525.2059999999997,6723.0,6657.74,6877.725,8277.24,7134.453,6952.571,6363.582125,1498.0381852294533
17,14.5713,4554.512,3440.575,6462.039000000001,6390.33,6689.69,8053.423000000001,6837.775,6683.553000000001,6138.987125,1449.764514638098
18,15.575500000000002,4372.122,3360.381,6168.513000000001,6155.741,6480.805,7892.5509999999995,6542.589,6479.823,5931.565625,1412.7135337315444
19,16.5797,4207.333,3305.055,5932.781999999999,6005.695,6288.723000000001,7669.4169999999995,6277.556,6283.736,5746.287125,1362.4468522471345
20,17.5838,4048.4840000000004,3232.282,5783.769,5879.581,6042.235,7558.37,6058.935,6059.857,5582.939125000001,1340.350330849304
21,18.588,3923.0890000000004,3164.9159999999997,5557.191999999999,5748.149,5866.513000000001,7414.17,5842.491,5823.812,5417.5415,1307.683451798747
22,19.5922,3808.688,3117.554,5337.385,5581.611,5709.757,7194.46,5621.642,5618.766,5248.732875,1254.0621255133183
23,20.5964,3709.5809999999997,3073.653,5086.4490000000005,5393.043000000001,5516.446,7043.906,5473.973000000001,5393.8640000000005,5086.364375,1213.1615844704445
24,21.6006,3641.704,3041.657,4961.859,5230.755999999999,5389.799,6798.916,5315.047,5272.803000000001,4956.567625000001,1151.4838595464473
25,22.6048,3494.385,2992.5690000000004,4791.9490000000005,5104.804,5189.32,6476.6630000000005,5111.154,5099.359,4782.525375,1083.06220936076
26,23.609,3404.761,2976.71,4697.32,4930.162,4986.0509999999995,6224.187,4936.009,4966.5509999999995,4640.218875,1014.4305106009602
27,24.6132,3360.4359999999997,2944.908,4539.474,4761.042,4866.061,6072.423000000001,4800.473,4847.693,4524.06375,970.9844077838519
28,25.6174,3261.902,2901.534,4397.603,4643.152,4743.286,5865.1140000000005,4656.226,4785.223,4406.755,931.8095946574679
29,26.6216,3197.66,2876.013,4330.667,4494.258,4636.227,5643.753000000001,4468.3,4657.15,4288.0035,874.6443760721107
30,27.6258,3139.423,2847.7090000000003,4229.205,4317.72,4506.624,5475.505,4300.694,4496.27,4164.14375,826.0738953161429
31,28.63,3140.4179999999997,2832.752,4090.539,4204.34,4415.684,5279.109,4177.626,4383.542,4065.5012500000003,765.7439359130722
32,29.6342,3102.843,2814.1420000000003,4002.987,4057.942,4320.911,5121.401,4059.824,4280.1720000000005,3970.02775,722.0930612232648
33,30.638399999999997,3041.9429999999998,2780.724,3916.679,3964.6459999999997,4183.263,4951.823,3992.4959999999996,4188.073,3877.4558749999997,683.2216840663144
34,31.6425,2996.6259999999997,2758.554,3850.333,3888.598,4102.488,4795.393,3898.639,4096.997,3798.4535,645.9352602356636
35,32.6467,2962.278,2740.973,3808.167,3821.679,3980.941,4686.472,3802.29,4026.684,3728.6855000000005,615.6448516894415
36,33.6509,2933.4320000000002,2739.673,3744.026,3733.119,3883.8070000000002,4525.425,3666.7090000000003,3917.239,3642.92875,566.9775883015257
37,34.6551,2874.423,2733.9829999999997,3654.577,3646.4809999999998,3811.993,4369.590999999999,3540.2290000000003,3811.6040000000003,3555.360125,527.9617108106656
38,35.6593,2849.531,2726.4759999999997,3598.3720000000003,3638.673,3752.97,4271.698,3482.2140000000004,3701.645,3502.6973749999997,500.1124180935831
39,36.6635,2798.535,2718.717,3561.41,3634.073,3711.01,4205.413,3429.491,3636.368,3461.877125,489.6466177810387
40,37.6677,2786.57,2699.603,3514.103,3607.256,3631.615,4097.233,3349.698,3542.833,3403.613875,460.65687688046927
41,38.6719,2727.212,2701.077,3443.756,3546.542,3611.1409999999996,4005.929,3288.188,3486.312,3351.269625,443.5588481172762
