,X,Y0_m,Y1_m,Y2_m,Y3_m,Y4_m,Y5_m
1,1.0069,552.9360000000001,542.5380000000002,519.182,391.97900000000004,764.662,511.385
2,2.0138,581.137,685.6020000000001,581.0389999999998,423.4780000000003,857.1059999999998,637.1940000000004
3,3.0208,644.8689999999999,749.9230000000002,616.2740000000001,479.4250000000002,823.0710000000001,699.1099999999999
4,4.0277,675.9939999999999,771.2819999999999,605.8540000000003,544.1060000000002,821.0250000000001,684.4229999999998
5,5.0346,679.1500000000003,734.038,637.4480000000001,556.6770000000001,793.0120000000002,667.615
6,6.0416,649.2819999999999,726.6019999999996,635.3140000000003,584.1799999999998,775.1529999999998,570.017
7,7.0485,620.3620000000001,643.0000000000002,579.2269999999996,633.0000000000002,779.4830000000002,540.1770000000004
8,8.0554,614.6120000000001,620.231,525.5059999999999,529.0009999999997,744.5179999999998,488.799
9,9.0623,596.662,527.8969999999999,488.201,545.4479999999999,714.5870000000002,442.20399999999995
10,10.0693,584.9749999999999,474.4999999999998,451.557,472.93699999999967,595.6120000000001,417.6590000000001
11,11.0762,563.0510000000002,474.154,440.02499999999986,376.06899999999973,556.1610000000001,392.5419999999997
12,12.0831,510.0630000000001,421.3209999999999,378.289,405.69900000000007,567.1400000000001,370.3579999999997
13,13.09,512.8170000000002,433.7439999999999,370.36400000000003,356.4009999999996,473.72699999999963,360.9179999999999
14,14.097000000000001,519.4659999999999,374.5650000000003,386.501,383.4369999999999,445.88300000000027,368.43100000000004
15,15.1039,508.52700000000004,399.02600000000007,332.00299999999993,349.7969999999998,472.9759999999999,334.4720000000002
16,16.1108,473.2350000000001,331.12799999999993,357.3910000000001,324.3939999999998,467.93000000000006,340.49299999999994
17,17.1177,450.4839999999999,347.6410000000001,326.95399999999995,323.1530000000005,436.66100000000006,301.57400000000007
18,18.1247,453.92700000000036,382.9100000000003,282.36199999999985,289.76,450.3890000000001,324.14499999999975
19,19.1316,462.85900000000015,368.85900000000015,241.41000000000008,307.91399999999976,418.2710000000002,322.1260000000002
20,20.1385,403.52600000000007,286.2689999999998,267.202,274.06899999999996,394.18899999999985,290.4689999999998
21,21.1454,415.9789999999998,275.97500000000036,270.63300000000027,261.587,375.606,320.40999999999985
22,22.1524,401.7170000000003,305.3069999999998,257.7550000000001,254.3720000000003,349.789,290.5709999999999
23,23.1593,349.36699999999996,254.308,215.2859999999996,278.8829999999998,344.1300000000001,265.30700000000024
24,24.1662,329.6199999999999,277.4870000000001,239.97899999999981,256.08500000000004,305.5250000000001,287.2850000000001
25,25.1731,315.16899999999987,233.538,212.50199999999995,253.05000000000018,301.4150000000002,275.1700000000001
26,26.18,320.6869999999999,263.24299999999994,121.22200000000021,224.78099999999995,281.769,245.77099999999996
27,27.186999999999998,323.06799999999976,254.42300000000023,97.83200000000011,269.1750000000002,270.634,249.47899999999981
28,28.1939,318.2240000000004,199.44900000000007,105.56700000000001,249.35000000000036,299.028,272.0759999999998
29,29.2008,270.58799999999974,214.76999999999998,123.93500000000017,228.4319999999998,241.36400000000003,298.3130000000001
30,30.2078,240.48900000000003,224.85900000000038,139.60000000000014,240.42299999999977,272.95900000000006,278.76800000000003
31,31.2147,252.44700000000012,177.20499999999993,125.10000000000036,236.04599999999982,281.4269999999997,265.8069999999998
32,32.2216,265.29299999999967,182.75599999999986,124.83700000000044,181.58099999999968,279.61299999999983,267.1009999999999
33,33.2285,235.14600000000019,201.44799999999987,110.07899999999972,237.88400000000047,260.88099999999963,248.4889999999998
34,34.2355,225.18600000000015,218.962,92.2819999999997,238.33399999999983,274.87300000000005,257.2439999999997
35,35.2424,236.6590000000001,163.15300000000025,72.44900000000007,229.60000000000036,244.15499999999997,246.34799999999996
36,36.2493,263.1419999999998,187.44900000000007,71.94399999999996,248.21099999999979,276.74199999999996,271.6899999999996
37,37.2562,209.45899999999983,215.38399999999956,74.98399999999992,267.61500000000024,262.19699999999966,237.788
38,38.2631,282.6940000000004,201.0250000000001,117.84299999999985,267.4590000000003,265.529,257.7750000000001
39,39.2701,274.799,170.83300000000008,132.51000000000022,291.8739999999998,285.124,245.80700000000024
40,40.277,263.4789999999998,126.79500000000007,131.29199999999992,234.20999999999958,278.73599999999965,254.0239999999999
41,41.2839,251.4459999999999,159.94900000000007,85.03200000000015,231.98000000000002,291.85299999999984,237.56699999999955
42,42.2909,230.30300000000034,154.92300000000023,62.88099999999986,255.94899999999961,284.597,222.11699999999973
43,43.2978,220.029,135.26900000000023,83.07000000000016,269.60000000000036,246.06199999999967,200.1619999999998
44,44.3047,184.41800000000012,82.19199999999955,101.2460000000001,234.56100000000015,268.3289999999997,245.78099999999995
45,45.3116,243.2869999999998,62.94900000000007,121.33699999999999,282.2630000000004,281.3040000000001,240.09500000000025
46,46.3186,228.89800000000014,98.41100000000006,131.17999999999984,316.4760000000001,277.31300000000033,223.76900000000023
47,47.3255,267.72000000000025,25.704999999999927,180.29399999999987,230.05999999999995,274.8370000000002,222.1810000000005
48,48.3324,196.01099999999997,15.577000000000226,251.50900000000001,250.1279999999997,306.6550000000002,238.63700000000017
49,49.3393,221.95399999999927,-74.88500000000022,321.2519999999995,224.5590000000002,328.04299999999967,188.06399999999985
