distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
23.508,0.34820636,0.3331134,0.22308681,0.30505034,0.29675199,0.29620718,0.44156944,0.4183111
23.887,0.3153431,0.31607638,0.2423504,0.30490612,0.2733838,0.32389776,0.45256366,0.42845723
24.266,0.30803824,0.29823817,0.23965363,0.28172616,0.28596838,0.34414279,0.4445271,0.41386499
24.645,0.31204525,0.29216643,0.23489216,0.26958427,0.27350416,0.34561179,0.43203092,0.42240195
25.024,0.33574715,0.30562167,0.21930853,0.25369276,0.26233272,0.33253343,0.41362656,0.42714587
25.404,0.32029565,0.3028882,0.22573441,0.24337577,0.26141885,0.32359293,0.38667668,0.41447626
25.783,0.34513336,0.2927791,0.23900754,0.26521341,0.25580639,0.31321586,0.37088473,0.41478974
26.162,0.32443527,0.26565654,0.27666388,0.2776881,0.24777329,0.30336412,0.37062492,0.41365078
26.541,0.31366535,0.26406988,0.27417078,0.26657237,0.2190289,0.29009443,0.37028324,0.36911647
26.92,0.30084868,0.27662182,0.24908528,0.24482902,0.21489199,0.27976924,0.38528861,0.35071551
27.299,0.28109037,0.27679462,0.24006798,0.25621655,0.22481076,0.27680529,0.40584626,0.36485322
27.679,0.3082112,0.28474366,0.23797518,0.26516349,0.23571919,0.29026954,0.41150531,0.38476931
28.058,0.31265062,0.26934043,0.23270807,0.284494,0.23918742,0.29505273,0.4030986,0.39334807
28.437,0.31158977,0.24671081,0.23824205,0.28307402,0.22588511,0.29053546,0.37475353,0.36482709
28.816,0.29619593,0.23822765,0.24698546,0.26341071,0.22915274,0.2948841,0.35865194,0.35435704
29.195,0.27188289,0.23701016,0.25188738,0.26060959,0.24505398,0.29336645,0.35084316,0.35280534
29.574,0.26821604,0.22958739,0.25166265,0.24295421,0.25401878,0.27916931,0.34526242,0.34720981
29.954,0.28164385,0.25905067,0.239766,0.23214355,0.24796052,0.25812006,0.34755095,0.34508863
30.333,0.27973548,0.27639403,0.21772138,0.23980364,0.22679452,0.25989065,0.33423617,0.36541225
30.712,0.30104471,0.28954293,0.20953277,0.24363646,0.22818092,0.25381033,0.33772058,0.36891271
