,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y9,Y10,Y11,mean,std
0,-10.0,0.9220381708971105,1.0573161553488837,1.013897364956014,1.0417714150409882,1.0394599680794936,1.046808152767208,1.086989743931343,1.012801774175389,1.2784799928524204,1.0805333264071821,1.0781421713259862,1.0598398396165472,0.08575221344550739
1,-9.0,1.0470704217170768,1.0701987523315506,0.9087196923682155,0.9639098560472825,1.0056867232171711,0.9802041456365506,1.1424005901505945,1.1196600472998828,1.089696444241163,1.0473098424451264,0.9764982756198426,1.0319413446431325,0.07170217013744629
2,-8.0,1.1370308579478499,1.0512879787884388,0.9353041756142618,1.0486934771011378,1.192815659588304,1.0306274934247233,1.0852779461766946,1.0194998272424602,1.1483340649615335,1.108128016447222,1.0738163654856063,1.075528714798021,0.07079977029532686
3,-7.0,0.9619352744452935,0.9914276273752022,0.9951273049957028,1.0361158180178782,1.0141363046445342,0.9899847942585953,1.1999233814475796,1.0011622587635913,1.1193736613683198,1.21676380314922,0.9635914011200931,1.044503784507819,0.091595360901893
4,-6.0,0.9173385560630792,0.9206606485388718,0.9968983247241004,1.0154026474489704,0.9814361146913736,0.9879088188981725,1.2136694945221642,0.9825183800136927,1.0065428155143976,1.1272025995519848,1.0414235872854627,1.0173638170229338,0.08628341854633753
5,-5.0,0.9222548448932467,0.9113041564811607,0.9023593747951268,0.939661897488292,0.9624450519841871,0.9179946680818555,1.110575350110651,0.9094876415992056,1.092834628423147,1.329347052278905,1.1399785605638777,1.0125675660636049,0.13805239924624807
6,-4.0,1.1354868522849415,1.260911572665958,1.069140459789271,1.2018125804242998,1.4095942282070506,1.205802032444756,1.109638934590244,1.0120533951227035,0.9409442253538047,1.2655532479215394,1.675785821545095,1.2078839409408786,0.20237284205925046
7,-3.0,2.0621581692757838,2.07381570568839,2.276433066389143,2.5151359054523277,2.2810696768763785,2.2857272576747194,1.2031257732452254,1.6876803740382371,1.1247639168315715,1.1691736955761227,2.95517407937592,1.9667506927658018,0.6000660246443968
8,-2.0,2.7394884367810115,3.110023524394466,3.961158466195887,4.189825748865044,3.319673900665816,3.6989369566358263,1.8453124599220228,2.57097951811077,2.869617801817605,1.6129161051071288,3.9248249763775784,3.0766143540793776,0.8520142989262655
9,-1.0,4.033706446269995,3.844367292809201,3.663871964748326,3.9008442949528375,3.020327171073446,3.443094699557058,2.965640969630389,4.012633632384644,4.089166635113206,3.5861572026213775,4.9524989278843,3.7738462942767983,0.548817130236534
10,0.0,5.8392795970104014,5.255683289851988,5.6942420633290896,6.359545520386929,5.227835147252164,5.640985425861842,5.26993658115456,5.568134730675871,4.836481191630544,4.410053188460073,5.150234327532392,5.3865828239223505,0.5207639742474097
11,1.0,7.138793387183445,5.686655505478688,6.917541579565664,7.386663959122624,5.949416910673018,6.798107708572218,6.8277051762214285,5.83765132369224,5.547104467340799,5.2006927426124,6.471336822851761,6.341969962119482,0.7273602272898265
12,2.0,8.140054322068666,5.945295479361063,8.676379318509392,9.02136070289479,7.6136163262864835,8.503343507906392,8.237118995263573,7.400362396920249,6.428630782193856,5.888468158283371,7.091459160401605,7.540553559099041,1.095068184783166
13,3.0,8.445814638639508,7.230712773370293,8.317109110716746,8.615845756719391,7.055327728412524,8.160632562932026,8.534145397221053,7.4867644859170746,6.947871922506374,8.304785489517156,7.515128458166159,7.874012574919846,0.632271712684339
14,4.0,8.062780539218384,6.655704385793353,8.585635770774394,9.040189861119455,7.7999874043341855,8.622695383618696,10.123776151534416,6.574569092343791,7.321951371679031,8.614529846711083,7.121679639379355,8.047590858773285,1.0858176197557243
15,5.0,8.406211339961045,7.346645586895634,8.371006573170638,8.54891827329448,6.9533847670344215,8.2051895450427,9.849152747866142,6.6436907971869,8.400834469311297,10.30864191891919,7.326461961468425,8.214557998195534,1.134241875184329
16,6.0,7.874701329388099,6.959596492830845,8.946130336874585,9.358590218084233,8.269232554885964,9.021622615817634,11.062151655505987,7.158679454267942,9.807665562971673,10.048685621584347,7.087191299650807,8.690386103805649,1.3451723220773972
17,7.0,8.05169161478962,6.6634194952899035,8.870492511544144,9.298188166250823,7.994814282087472,8.933573240732741,10.619104322494453,8.186414216395372,9.968849403539945,10.323313517145317,6.978192627847777,8.717095763465233,1.2907349495811065
18,8.0,8.02419573676909,7.340892272138432,8.802680529212894,9.042975829044991,7.8364770649330655,8.74153335376231,10.969659703177923,7.018236981696936,9.62767618050099,10.584111211426855,6.387553588232993,8.579635677354226,1.4407513010130228
19,9.0,8.369303667612446,7.892813547818097,8.499998504595279,8.951643730705474,8.211162104050617,8.646121710827593,10.288021090204339,8.651982761360044,10.35921495242619,10.459392537547,6.181878534407617,8.773775740141335,1.2553779435591998
20,10.0,7.147775810984296,7.713327261581412,8.455782005529246,8.713928776944003,7.5864704853399445,8.425717103922846,10.159689606957478,7.387159848409663,9.042810354617512,10.982659812202478,5.382025271769926,8.2724860307508,1.5145541418667317
21,11.0,5.257638311649989,6.5454666096723,9.427646614409134,9.553249911536609,8.04018926436412,9.28761100928852,11.320954133214766,8.474673688311409,10.059169267106697,11.048603778495558,5.630005063461803,8.604109786500992,2.052734469009443
22,12.0,4.910657578817782,6.184448915353395,7.65077452753609,7.997504434630321,7.328692299748023,7.739212775014832,9.8895704698391,7.509356636903533,9.224427423189182,8.724059121272381,4.6875123544543404,7.440565139705361,1.6384601309070548
23,13.0,4.480282670884449,5.736818522504556,8.0377481057936,8.283354244742261,7.6555704887225815,8.062553212889632,9.966788292352078,6.80424398530292,8.044164659630072,9.224407310589456,4.728266532397684,7.36583618416448,1.7548307814346884
24,14.0,3.5526546002827555,4.637492855834182,8.156200457268756,8.337757771524702,7.882036832536027,8.158731866052676,8.590835500328339,7.220074846095314,7.357529948598062,8.005781998250608,5.007296904927327,6.991490325608978,1.7435985449442015
25,15.0,4.06867230099691,3.9050773802859444,8.004939498217801,8.160244604058082,7.574955429730318,7.990428752099108,8.982453412620616,6.369550023190362,7.656372119432015,7.620121701261406,4.3076775285926034,6.785499340953197,1.8364169002832005
26,16.0,3.327137222228612,3.9802851460065005,7.690026132739274,7.839818299359132,7.355724328067456,7.681370799695903,8.123614514843446,5.906869500004748,6.172120486166183,7.934246414421932,3.9926368314652825,6.363986334090769,1.8163443043680345
27,17.0,2.8410421596199384,3.4384542194152927,6.0416219192089144,6.188320750117469,5.892847853471874,6.057318610382658,7.82543498501072,5.022736118170219,6.995655213961898,7.462680599281473,3.813782973725779,5.598172309306022,1.643591841082436
28,18.0,2.9415245433713957,3.4300230979643422,5.882479496971858,6.0975272030945415,5.99104976470205,5.963813332302883,7.189501503313183,4.871278131669615,5.816779241383159,6.926470582409333,3.408317714736814,5.319887691992653,1.4557934905578256
