,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,mean,std
0,-10.0,1.1195027146596124,1.1961705793908053,1.1305995591824234,1.2075697359043154,1.1660829688058123,1.2113070003414474,1.2907473518383683,1.089488234934372,1.0791302609862035,0.9266980106844734,1.1088939126200985,1.0960414822099267,1.1351859842964884,0.09100211237036052
1,-9.0,1.0359024941334063,1.2342826081123486,1.204265751827718,1.309445640893383,1.1837842913801278,1.0157432796774821,1.2322565032187778,1.097577638820647,1.1494015658851018,0.9293403232187367,1.1970416089670373,1.14709092180815,1.1446777189952428,0.10776340724659654
2,-8.0,1.048443341222438,1.2010312693386365,1.2486106537182964,1.2323345371565944,1.2580129230489312,1.1493270728492937,1.2889523108470733,1.123587794379443,1.2591840496029387,0.9329566059993686,1.2655468233112457,1.2201739508880682,1.1856801110301938,0.10579619152363903
3,-7.0,1.103717471468182,1.3147561829528893,1.2862811330457813,1.281964745529269,1.186361411972012,1.1372533514393777,1.3134546209566909,1.110924395821726,1.22157179788082,0.9248974620322257,1.2516159079705753,1.1848382876089734,1.193136397389877,0.1128180543940221
4,-6.0,1.0585926957918779,1.155803071679522,1.2103619996703316,1.3312045328887627,1.1648460066506066,1.0911846452010108,1.1985603123565987,1.081365634076267,1.2431992150544788,0.9829660986202248,1.2132150722322965,1.3411910939175797,1.1727075315116298,0.10726562969059086
5,-5.0,0.9925567138274641,1.2970958969019668,1.1889932300154977,1.3103124394116707,1.186368047905849,1.166227581638156,1.2806627982920509,1.0607101361106943,1.1329798609792348,0.9646117569867321,1.123320804981629,1.186863719437311,1.1575585822073549,0.11132310488195157
6,-4.0,1.0802480602050482,1.2573964953337904,1.2855360461352718,1.2628809534323913,1.1714976974623559,1.2115242167706914,1.2779086918043814,1.1008733057245754,1.1647130042941671,0.9799620874546592,1.1582977160066894,1.2546077259478319,1.1837871667143212,0.09389309033632712
7,-3.0,1.0330847136625338,1.2886004365061938,1.5804306037719809,1.312161575327017,1.2505958168253528,1.2137774419588465,1.284986738999473,1.7220858274776853,1.1749848470576654,1.266583547951371,1.239533796362227,1.432139524569174,1.31658040587246,0.18414012434463134
8,-2.0,1.2553056182017293,1.3323578993882979,2.5899246603989057,1.3195922296852372,1.2048229008762834,1.2684597065811085,1.3326191183655236,3.710160797668529,1.11264459388074,3.288693322783102,1.3091734252992135,3.2491142734386913,1.9144057122139468,0.9884113923922645
9,-1.0,2.3080078200487777,1.5894245794208859,3.4613727083496673,1.8929160865674561,1.9362238304661943,1.7284895192716363,1.960585440290832,3.715568565731735,1.7097277388855914,3.943380779613309,2.651246824538292,3.5387635377764926,2.536308952580072,0.8859718589315031
